name,rating,genres,summary,image
American Idol,5.8,['Music'],"American Idol is an American singing competition show, where contestants perform in front of a panel of star judges, representing the music industry. The winner is determined by viewers' vote.",http://static.tvmaze.com/uploads/images/medium_portrait/242/605571.jpg
America's Got Talent,6.4,['Family'],"With the talent search open to acts of all ages, America's Got Talent has brought the variety format back to the forefront of American culture by showcasing performers from across the country. The series is a true celebration of the American spirit, featuring a colorful array of singers, dancers, comedians, contortionists, impressionists, jugglers, magicians, ventriloquists and hopeful stars, all vying for their chance to win America's hearts and the $1 million prize.",http://static.tvmaze.com/uploads/images/medium_portrait/199/499511.jpg
Adventure Time,8.4,"['Comedy', 'Adventure', 'Children']",Adventure Time's unlikely heroes Finn and Jake are buddies who traverse the mystical Land of Ooo and encounter its colorful inhabitants.,http://static.tvmaze.com/uploads/images/medium_portrait/1/4898.jpg
Motive,8.2,"['Drama', 'Crime', 'Mystery']","Motive is an unconventional way to watch a crime drama unfold. Each episode begins by revealing not only the victim, but the killer as well. It's not a ""whodunit"", it's a ""whydunit"", a question faced by spirited female Vancouver homicide detective Angie Flynn as she begins to piece together the clues from the crime. How are the victim and killer connected? What is the motive? As the mystery unfolds, the audience navigates a complicated maze of clues alongside the detective and her team.",http://static.tvmaze.com/uploads/images/medium_portrait/1/4903.jpg
The NEW Celebrity Apprentice,4.5,[],"Sixteen celebrities are set to compete for their favorite charities when The NEW Celebrity Apprentice shifts to Los Angeles for its eighth season, where twice-elected California governor and international movie superstar Arnold Schwarzenegger reigns over the Boardroom.Advising the new head of the Boardroom this season will be world-class business minds, including investment guru Warren Buffett, one of the most successful businessmen in the world; former Microsoft CEO and Los Angeles Clippers owner Steve Ballmer; Tyra Banks, a supermodel, actress, TV host, producer, accomplished businesswoman and CEO of the Tyra Banks Company and cosmetics brand, TYRA Beauty; actress, author and entrepreneur Jessica Alba, the founder and chief creative officer of The Honest Company and Honest Beauty; and Schwarzenegger's trusted confidante and nephew, prominent entertainment attorney Patrick Knapp Schwarzenegger.",http://static.tvmaze.com/uploads/images/medium_portrait/64/161700.jpg
Newswipe,,['Comedy'],Charlie Brooker sets his sights firmly on news and current affairs.,http://static.tvmaze.com/uploads/images/medium_portrait/1/4911.jpg
The Night Shift,8.1,"['Drama', 'Action', 'Medical']","Welcome to The Night Shift, where the toughest and craziest cases always seem to come through the door. Every shift is a fight between the heroic efforts of saving lives and the hard truths of running an underfunded hospital.At San Antonio Memorial, the men and women who work the night shift are an irreverent and special breed, particularly adrenaline junkie TC Callahan. After three grueling tours of duty in Afghanistan, TC is about to learn that his toughest battles will be fought right here at home.",http://static.tvmaze.com/uploads/images/medium_portrait/126/315025.jpg
Top Chef,8.8,['Food'],"Top Chef is a competition show in which chefs competing against each other in various culinary challenges, judged by the team of professional chefs and notable people from food industry.",http://static.tvmaze.com/uploads/images/medium_portrait/178/445624.jpg
Top Gear,5.3,[],"Hosts Tanner Foust, Adam Ferrara and Rutledge Wood embark on a new set of adventures as they test cars in extreme stunts, intense challenges and first-person reviews using their unique perspectives.",http://static.tvmaze.com/uploads/images/medium_portrait/1/4922.jpg
Undateable,7.5,"['Comedy', 'Romance']","Undateable is a comedy series about a group of friends who are this close to finding a relationship - they just need a little help.Whether it's due to a lack of style, the wrong job or even just a bad haircut, everyone goes through a time in their lives when they're undateable. Most of us eventually grow out of it, but some people need a little more help than others. Enter Danny Burton Confident, attractive and impervious to outside opinions, 29-year-old Danny - who may be in a state of arrested development himself - decides to help out his new roommate, Justin Kearney the owner of an unsuccessful bar and a chronic overthinker, and Justin's group of oddball friends - Shelly, Burski and Brett Danny introduces the gang to his recently divorced older sister, Leslie who immediately bonds with this group of guys, as she feels a little stuck in her own life as well. The gang spends most of their time at Justin's bar, helping solve each other's respective problems over beers, and while they love to give each other a hard time, they always have each other's back.",http://static.tvmaze.com/uploads/images/medium_portrait/44/111506.jpg
Chasing Life,7.7,"['Drama', 'Romance', 'Medical']","April is a smart, charismatic and quick witted twenty-something aspiring journalist. When not pursuing the latest scoop, April tries to balance her ambitious career with her family, which includes her widowed mom Sara rebellious little sister Brenna and her grandmother We meet April at a pivotal moment in her life: she's landed a fantastic opportunity to impress her hard-nosed Boston newspaper editor and an office romance with her super-sexy co-worker Dominic is just beginning to blossom. In an unexpected twist of fate, April lands in the hospital where her estranged uncle, George works as an oncologist, and she learns the devastating news that she has cancer. The series follows April through her journey in the face of this daunting revelation, during a time in her life when the challenges of finding love and success would be enough to keep any girl occupied. But April is determined to fight and refuses to give up her dreams and goals. Along the way, she'll find new reserves of strength and passion within and discover that facing death may really be the only way to truly live.",http://static.tvmaze.com/uploads/images/medium_portrait/1/4924.jpg
Power,8.1,"['Drama', 'Crime']","Power tells the story of James ""Ghost"" St. Patrick, a wealthy New York City nightclub owner who caters to the city's elite. He wants to build an empire, turn the club into a Fortune 500 business, but there's just one problem: Ghost is living a double life. When he is not in the club, he is the kingpin of the most lucrative drug network in New York for a very high-level clientele. His marriage, family and business all become unknowingly threatened as he is tempted to leave his criminal life behind and become the rags-to-riches businessman he wants to be most of all.",http://static.tvmaze.com/uploads/images/medium_portrait/204/511371.jpg
Murder in the First,8,"['Drama', 'Crime', 'Mystery']","Murder in the First follows homicide detectives Terry English and Hildy Mulligan as they investigate two seemingly unrelated murders. The mystery deepens, however, when they find both murders have a common denominator in a Silicon Valley wunderkind.",http://static.tvmaze.com/uploads/images/medium_portrait/192/481470.jpg
Hart of Dixie,8.3,"['Drama', 'Comedy', 'Romance']","Fast-talking New Yorker and brand new doctor Zoe Hart has it all figured out - after graduating top of her class from medical school, she'll follow in her father's footsteps and become a cardio-thoracic surgeon. But when her dreams fall apart, Zoe decides to accept an offer from a stranger, Dr. Harley Wilkes, to work with him at his small practice in Bluebell, Alabama. Zoe arrives in this small Gulf Coast town only to find that Harley has passed away and left his half of the medical practice to her in his will.",http://static.tvmaze.com/uploads/images/medium_portrait/82/205570.jpg
Trailer Park Boys,8.3,"['Comedy', 'Crime']",Follow the booze-fueled misadventures of three longtime pals and petty serial criminals who run scams from their Nova Scotia trailer park.,http://static.tvmaze.com/uploads/images/medium_portrait/2/5013.jpg
Deadbeat,7.4,"['Comedy', 'Supernatural']","Deadbeat follows Kevin Pacalioglu, who may have no money and no clue, but he can see dead people, so that's pretty cool. Faced with a constant stream of stubborn spirits, Pac goes to whatever lengths require the least amount of effort to help New York City's most frivolous ghosts finish their unfinished business.",http://static.tvmaze.com/uploads/images/medium_portrait/2/5023.jpg
The Venture Bros.,8.9,"['Comedy', 'Adventure']","The Venture Bros. is an American animated television series that premiered on Cartoon Network's Adult Swim on February 16, 2003. The series mixes action and comedy together while it chronicles the adventures of the Venture family: well-meaning but incompetent teenagers Hank and Dean Venture; their emotionally insecure, ethically challenged super-scientist father Dr. Thaddeus ""Rusty"" Venture; the family's bodyguard, originally the ultra-violent and macho secret agent Brock Samson and his later replacement, reformed super villain and ""cured"" pedophile Sergeant Hatred; and the family's self-proclaimed arch-nemesis, the Monarch, a butterfly-themed super villain.",http://static.tvmaze.com/uploads/images/medium_portrait/2/5028.jpg
Black Mirror,8.7,"['Drama', 'Science-Fiction', 'Thriller']","Over the last ten years, technology has transformed almost every aspect of our lives before we've had time to stop and question it. In every home; on every desk; in every palm - a plasma screen; a monitor; a smartphone--a black mirror of our 21st Century existence. Black Mirror is a contemporary British re-working of The Twilight Zone with stories that tap into the collective unease about our modern world.",http://static.tvmaze.com/uploads/images/medium_portrait/240/601964.jpg
Broadchurch,8.6,"['Drama', 'Crime', 'Mystery']","David Tennant, Olivia Colman, Andrew Buchan and Jodie Whittaker, star in Broadchurch – a brand new powerful, thought provoking drama series by Kudos Film and Television for ITV.The sadness of losing a child consumes the family, Beth and Mark Latimer their daughter 15-year-old Chloe and Beth's mum Liz as they attempt to cope with their grief, everyday normal life and the abruptness of the unwarranted attention heaped upon them. Devastated by their loss, it's the most stressful and emotional time in their lives as they struggle to relate to their friends, neighbours, the church, the press, and the police.",http://static.tvmaze.com/uploads/images/medium_portrait/2/5036.jpg
Bluestone 42,7.4,"['Drama', 'Comedy', 'War']",Comedy drama series following the lives of a bomb disposal detachment serving in Afghanistan.,http://static.tvmaze.com/uploads/images/medium_portrait/2/5052.jpg
Matador,7,"['Drama', 'Action']","Shot in Los Angeles, the irreverent, adrenaline-filled series chronicles the unlikely rise of Tony ""Matador"" Bravo a professional soccer player for the LA Riot who comes to be known as much for his antics off the field as his moves on it. But what his fans and family don't realize is that it's all a cover - in truth, he is a skilled covert operative executing missions for the CIA. Agent Bravo, nicknamed Matador after he takes out a top player known as ""The Bull"" during tryouts for the team, finds himself suddenly thrust into a clandestine world. But, in balancing his dueling roles, he will be forced to confront the question of his true identity... and it is this mission that may prove to be his most dangerous.",http://static.tvmaze.com/uploads/images/medium_portrait/2/5061.jpg
Rogue,7.9,"['Action', 'Crime']","Grace has left her life as an undercover cop to be a better mother to her daughter. She's recently separated from Tom and with the arrival of her estranged mother, she's got plenty of drama at home. Grace's new job as a handler for an FBI task force has her investigating corporate espionage in San Francisco. But when her undercover operative, Sarah, goes missing, Grace is forced to go back undercover to save her. That's when she meets Ethan the owner of the security consultancy Sarah investigated before disappearing. Grace looks to gain Ethan's trust to learn what happened to Sarah, but Ethan has his own agenda. His close friend and business partner was murdered the night Sarah vanished. He's determined to find who's responsible—creating a dangerous game of cat and mouse. As Grace gets closer to Ethan, her feelings grow. But can she trust him?",http://static.tvmaze.com/uploads/images/medium_portrait/55/138114.jpg
Married,5.7,"['Drama', 'Comedy', 'Romance']","Married is about being miserably in love. Russ and Lina Bowman can barely remember what it was like before kids, debt, and suburbia rained on their romance. But every once in a while, in between arguments about their declining sex life and who's driving carpool, they are reminded what drew them together in the first place — they're best friends.",http://static.tvmaze.com/uploads/images/medium_portrait/170/427163.jpg
Satisfaction,7.6,"['Drama', 'Comedy', 'Romance']","In Satisfaction, investment advisor Neil Truman and his wife Grace are sifting through their stagnant relationship when Neil discovers that Grace has been seeing a male escort. After an unusual chain of events, he gains a new perspective on his life and what motivates women, while Grace contemplates whether her needs are being met and if her marriage is worth saving.",http://static.tvmaze.com/uploads/images/medium_portrait/213/534976.jpg
You're the Worst,7.9,"['Drama', 'Comedy', 'Romance']","You're the Worst is a comedic love story about what happens when two toxic, self-destructive people fall in love despite themselves and attempt the impossible - a relationship...",http://static.tvmaze.com/uploads/images/medium_portrait/181/453177.jpg
Plebs,7.7,['Comedy'],"Rome is traditionally imagined as the home of emperors and senators, generals and gladiators, a dignified theatre of pomp and ceremony. But what about the little guys, the wasters - new to the big city, stuck in office jobs, unable to get the girls? Plebs follows three desperate young men from the suburbs as they try to get laid, hold down jobs and climb the social ladder in the big city - a city that happens to be Ancient Rome.",http://static.tvmaze.com/uploads/images/medium_portrait/153/382980.jpg
