name,rating,genres,summary,image
The League,7.6,"['Comedy', 'Sports']","The League follows Kevin, a happily married father and commissioner of the fantasy football league; Jenny, Kevin's wife and his better half - especially when it comes to fantasy football; Pete, the perennial league champ who is struggling to become an adult; Taco, Kevin's little brother, a part-time musician and full-time stoner with little interest in fantasy other than hanging with his buddies; Ruxin, who believes he is the smartest of the group but can't figure out how exactly the other guys are screwing him over; and Andre, the punching bag of the group since their high school days - a fact that hasn't changed despite the fact he is now a successful plastic surgeon.",http://static.tvmaze.com/uploads/images/medium_portrait/1/4720.jpg
Saving Hope,8,"['Drama', 'Fantasy', 'Medical']","When Hope Zion Hospital's Chief of Surgery, Charlie Harris ends up in a coma, he finds himself wandering the halls in spirit form. Stuck between worlds, he watches as his fiancée and the staff of the hospital fight to keep patients - and hope - alive.",http://static.tvmaze.com/uploads/images/medium_portrait/91/229823.jpg
Talking Dead,7.1,[],"A live after show about Fear/The Walking Dead, hosted by Chris Hardwick. Talking Dead features Hardwick spending time with fans, actors, producers and TV enthusiasts, recapping the most recent Fear/The Walking Dead episodes and taking questions and comments from viewers.",http://static.tvmaze.com/uploads/images/medium_portrait/169/424141.jpg
Black Dynamite,,"['Comedy', 'Action']","Dynamite is a 1970s renaissance man with a kung-fu grip. A lover and a fighter who is not afraid to leap before he looks. His sidekick extraordinaire is Bullhorn, the brains and cunning that complements Black Dynamite's hard-hittin', bone-crushin' style. Providing comic relief on the mean streets is Cream Corn and classing up the place is the gorgeous Honey Bee.",http://static.tvmaze.com/uploads/images/medium_portrait/1/4742.jpg
Bad Education,7.5,['Comedy'],Comedy series about a teacher who is a bigger kid than the kids he teaches.,http://static.tvmaze.com/uploads/images/medium_portrait/202/506068.jpg
Ali G: Rezurection,5.8,['Comedy'],"Ali G: Rezurection includes every episode of Da Ali G Show with new, original introductions by star, creator/writer Sacha Baron Cohen, along with the BAFTA(R) Award-winning English episodes of Da Ali G Show which have never aired on American television and The Best of Ali G.",http://static.tvmaze.com/uploads/images/medium_portrait/60/152357.jpg
New Tricks,8.8,"['Drama', 'Crime']","Drama about a police unit, made up of retired detectives and a long-suffering boss, looking at unsolved crimes.",http://static.tvmaze.com/uploads/images/medium_portrait/48/121589.jpg
Brickleberry,7.5,['Comedy'],"Brickleberry follows the hapless rangers at Brickleberry National Park as they do their worst to keep the park open. Having been through everything from ""Steve's"" invention of Squabbits to the birth of the anti-Christ, the rangers are back and ready for anything.",http://static.tvmaze.com/uploads/images/medium_portrait/1/4787.jpg
Face Off,8.3,[],"Face Off is a competition/elimination series exploring the world of special-effects make-up artists and the unlimited imagination that allows them to create amazing works of living art. Each week the artists are tasked with using their considerable talent to create original movie-worthy characters such as aliens, human-animal hybrids, horror villains, cyborgs and others. Challenges incorporate a wide range of skill sets including design, sculpting, molding and application. It all builds to incredible reveals of the competitors' finished work and the drama of one artist being sent home by the expert panel of judges.",http://static.tvmaze.com/uploads/images/medium_portrait/1/4794.jpg
Real Time with Bill Maher,6.3,[],"Real Time with Bill Maher includes an opening monologue, roundtable discussions with panelists, and interviews with in-studio and satellite guests. Politico hailed Maher as ""a pugnacious debater and a healthy corrective to the claptrap of cable news"", while Variety noted, ""There may not be a more eclectic guest list on all of television"".",http://static.tvmaze.com/uploads/images/medium_portrait/182/456851.jpg
Franklin & Bash,7.7,"['Drama', 'Comedy', 'Legal']","Two young, fly-by-the-seat-of-their-pants street lawyers cause a seismic culture clash when they join a legendary, button-down law firm.",http://static.tvmaze.com/uploads/images/medium_portrait/1/4800.jpg
Mock the Week,8.2,['Comedy'],"Comedy show combining the best elements of panel show, stand-up and improvised games with two teams of comedians taking a satirical swipe at the news and world events.",http://static.tvmaze.com/uploads/images/medium_portrait/61/154228.jpg
Awkward.,6.6,"['Drama', 'Comedy', 'Romance']","This series takes an irreverent look at the conflict, chaos and humor that defines teenage life through the eyes of 15-year-old Jenna Hamilton, whose life begins to change when a simple accident becomes an epic misunderstanding and is blown way out of proportion.Narrated in the first-person voice of Jenna's blog posts, Awkward captures the humor within the struggles and experiences everyone can relate to from their formative years. The series picks up in the aftermath of the accident as she must deal with a new not-so-fun stigma, while at the same time managing the other daily drama that comes with being a teenager. From a secret relationship with a popular guy, to being undermined by a mean girl, and parents who just don't get it - Jenna's misfortune will eventually serve as the catalyst for amazing change, but it's not without some missteps and mishaps along the way.",http://static.tvmaze.com/uploads/images/medium_portrait/1/4811.jpg
Faking It,7.5,"['Comedy', 'Romance']","Faking It is a romantic comedy about two best friends who love each other - in slightly different ways. After numerous failed attempts to become popular, the girls are mistakenly outed as lesbians, which launches them to instant celebrity status. Seduced by their newfound fame, Karma and Amy decide to keep up their romantic ruse.",http://static.tvmaze.com/uploads/images/medium_portrait/1/4824.jpg
Mr. Selfridge,7.8,['Drama'],"Mr. Selfridge tells the story of 'Mile a Minute Harry', a man with a mission to make shopping as thrilling as sex.",http://static.tvmaze.com/uploads/images/medium_portrait/34/85954.jpg
"Signed, Sealed, Delivered",8.5,"['Romance', 'Mystery']","Signed, Sealed, Delivered is a wonderful combination of romance, comedy and drama that follows the lives of four postal detectives who transform themselves into a team of detectives to track down intended recipients of undeliverable mail. Their missions take them out of the office and into an unpredictable world where redirected letters and packages can save lives, solve crimes, reunite old loves and change futures by arriving late but somehow always on time.The team includes charming Oliver O'Toole, a genius postal detective and the group's leader; new team member Shane McInerney, a technophile who brings 21st century sensibility to the group; free-spirited, ""girl next door"" Rita Haywith who has a photographic memory; and lovable Norman Dorman, a master in conventional research methods.",http://static.tvmaze.com/uploads/images/medium_portrait/179/448532.jpg
Happy Valley,8.3,"['Drama', 'Crime']","When a kidnap spirals out of control, Yorkshire police sergeant Catherine Cawood comes face to face with the man who destroyed her family.",http://static.tvmaze.com/uploads/images/medium_portrait/1/4886.jpg
Kroll Show,,['Comedy'],"With unforgettable recurring characters like Bobby Bottleservice, the PubLIZity Girls, Ref Jeff, C-Czar and more, Kroll Show skewers our television-obsessed culture and the rabid fan base it breeds. More than just a collection of sketches, it's Nick Kroll's one-of-a-kind take on pop culture and the meaning of celebrity.",http://static.tvmaze.com/uploads/images/medium_portrait/1/4895.jpg
